age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object,location,operation,officer_defined_ethnicity,type,operation_name,object_of_search
25-34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-16T15:35:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531975', 'street': {'id': 964793, 'name': 'On or near Cynthia Street'}, 'longitude': '-0.113149'}",False,White,Person and Vehicle search,,Stolen goods
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T13:15:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
18-24,Arrest,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T03:30:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.536811', 'street': {'id': 964657, 'name': 'On or near Boadicea Street'}, 'longitude': '-0.118659'}",False,Other,Person and Vehicle search,,Controlled drugs
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black African,Female,Police and Criminal Evidence Act 1984 (section 1),,2019-05-18T01:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,
25-34,Community resolution,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T09:10:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.539512', 'street': {'id': 964665, 'name': 'On or near Supermarket'}, 'longitude': '-0.117134'}",False,Black,Person search,,Controlled drugs
25-34,Community resolution,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T09:06:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.543843', 'street': {'id': 964641, 'name': 'On or near Frederica Street'}, 'longitude': '-0.118066'}",False,Asian,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T18:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.534406', 'street': {'id': 964642, 'name': 'On or near Fife Terrace'}, 'longitude': '-0.116177'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T00:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530983', 'street': {'id': 960928, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.119707'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-18T23:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543518', 'street': {'id': 964689, 'name': 'On or near Roman Way'}, 'longitude': '-0.113493'}",False,White,Person search,,Stolen goods
25-34,Community resolution,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T03:05:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.533668', 'street': {'id': 964802, 'name': 'On or near White Conduit Street'}, 'longitude': '-0.108825'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T00:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.538079', 'street': {'id': 964714, 'name': 'On or near Liverpool Road'}, 'longitude': '-0.106927'}",False,White,Person search,,Offensive weapons
25-34,Community resolution,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T06:30:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.548879', 'street': {'id': 967987, 'name': 'On or near A5200'}, 'longitude': '-0.129310'}",False,White,Person search,,Controlled drugs
18-24,Community resolution,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T19:15:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.541378', 'street': {'id': 964637, 'name': 'On or near Kember Street'}, 'longitude': '-0.117447'}",False,Black,Person and Vehicle search,,Stolen goods
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T17:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Other,Person search,,Evidence of offences under the Act
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T17:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532285', 'street': {'id': 964816, 'name': 'On or near Northdown Street'}, 'longitude': '-0.119595'}",False,Asian,Person and Vehicle search,,Offensive weapons
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T08:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532972', 'street': {'id': 964595, 'name': 'On or near Duncan Terrace'}, 'longitude': '-0.103635'}",False,White,Person search,,Controlled drugs
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-20T11:32:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.530983', 'street': {'id': 960928, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.119707'}",False,White,Person and Vehicle search,,Offensive weapons
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T14:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.547592', 'street': {'id': 968247, 'name': 'On or near Clock View Crescent'}, 'longitude': '-0.123652'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Criminal Justice and Public Order Act 1994 (section 60),,2019-05-20T21:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Anything to threaten or harm anyone
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T20:10:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530983', 'street': {'id': 960928, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.119707'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-20T23:13:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531606', 'street': {'id': 964788, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.111492'}",False,Asian,Person search,,
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Criminal Justice and Public Order Act 1994 (section 60),,2019-05-20T23:18:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531606', 'street': {'id': 964788, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.111492'}",False,Black,Person search,,Anything to threaten or harm anyone
18-24,A no further action disposal,True,Asian/Asian British - Indian,Male,Criminal Justice and Public Order Act 1994 (section 60),,2019-05-21T01:58:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531606', 'street': {'id': 964788, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.111492'}",False,Asian,Person search,,Anything to threaten or harm anyone
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Criminal Justice and Public Order Act 1994 (section 60),,2019-05-20T23:12:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531606', 'street': {'id': 964788, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.111492'}",False,Asian,Person search,,Anything to threaten or harm anyone
10-17,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-21T18:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.536951', 'street': {'id': 964646, 'name': 'On or near Copenhagen Street'}, 'longitude': '-0.119518'}",False,White,Person search,,Offensive weapons
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-21T18:44:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.536951', 'street': {'id': 964646, 'name': 'On or near Copenhagen Street'}, 'longitude': '-0.119518'}",False,Black,Person search,,Offensive weapons
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-21T18:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.537975', 'street': {'id': 964638, 'name': 'On or near Havelock Street'}, 'longitude': '-0.120572'}",False,Black,Person search,,Offensive weapons
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-21T18:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.537975', 'street': {'id': 964638, 'name': 'On or near Havelock Street'}, 'longitude': '-0.120572'}",False,Black,Person search,,Offensive weapons
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-21T18:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.537975', 'street': {'id': 964638, 'name': 'On or near Havelock Street'}, 'longitude': '-0.120572'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-21T14:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539089', 'street': {'id': 964659, 'name': 'On or near Bingfield Street'}, 'longitude': '-0.119964'}",False,Black,Person and Vehicle search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T20:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T14:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539089', 'street': {'id': 964659, 'name': 'On or near Bingfield Street'}, 'longitude': '-0.119964'}",False,Asian,Person and Vehicle search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-21T20:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Controlled drugs
,Arrest,False,,,Police and Criminal Evidence Act 1984 (section 1),,2019-05-21T19:00:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.530983', 'street': {'id': 960928, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.119707'}",False,,Vehicle search,,Offensive weapons
18-24,Arrest,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-22T08:30:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.528064', 'street': {'id': 960935, 'name': 'On or near Midhope Street'}, 'longitude': '-0.122710'}",False,Black,Person search,,Controlled drugs
,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-22T14:35:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Asian,Person and Vehicle search,,Stolen goods
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-22T18:20:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.531769', 'street': {'id': 960672, 'name': 'On or near Granby Terrace'}, 'longitude': '-0.140220'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-22T18:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530950', 'street': {'id': 960945, 'name': ""On or near King'S Cross Road""}, 'longitude': '-0.119895'}",False,White,Person and Vehicle search,,Offensive weapons
over 34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-22T17:46:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530950', 'street': {'id': 960945, 'name': ""On or near King'S Cross Road""}, 'longitude': '-0.119895'}",False,White,Person and Vehicle search,,Offensive weapons
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-22T17:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543836', 'street': {'id': 964699, 'name': 'On or near Offord Road'}, 'longitude': '-0.110394'}",False,Asian,Person search,,Offensive weapons
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-22T21:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.546639', 'street': {'id': 968295, 'name': 'On or near Market Road'}, 'longitude': '-0.120821'}",False,Black,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-22T21:35:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.548028', 'street': {'id': 968235, 'name': 'On or near Shearling Way'}, 'longitude': '-0.122206'}",False,Asian,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T19:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533668', 'street': {'id': 964802, 'name': 'On or near White Conduit Street'}, 'longitude': '-0.108825'}",False,White,Person and Vehicle search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T19:07:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533668', 'street': {'id': 964802, 'name': 'On or near White Conduit Street'}, 'longitude': '-0.108825'}",False,,Person and Vehicle search,,Controlled drugs
10-17,Arrest,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-22T18:40:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.535893', 'street': {'id': 964464, 'name': 'On or near Supermarket'}, 'longitude': '-0.102374'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T09:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.536713', 'street': {'id': 964611, 'name': 'On or near York Way'}, 'longitude': '-0.122080'}",False,Black,Person and Vehicle search,,Stolen goods
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T17:53:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Black,Person search,,Offensive weapons
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T14:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.541855', 'street': {'id': 964635, 'name': 'On or near Lyon Street'}, 'longitude': '-0.117485'}",False,White,Person search,,Offensive weapons
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T17:41:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Black,Person search,,Offensive weapons
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T14:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540865', 'street': {'id': 964755, 'name': 'On or near Bridgeman Road'}, 'longitude': '-0.115189'}",False,White,Person search,,Offensive weapons
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2019-05-24T10:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Stolen goods
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-25T01:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535893', 'street': {'id': 964464, 'name': 'On or near Supermarket'}, 'longitude': '-0.102374'}",False,White,Person search,,Evidence of offences under the Act
10-17,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-23T14:54:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535893', 'street': {'id': 964464, 'name': 'On or near Supermarket'}, 'longitude': '-0.102374'}",False,Black,Person search,,Evidence of offences under the Act
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-25T03:54:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543518', 'street': {'id': 964689, 'name': 'On or near Roman Way'}, 'longitude': '-0.113493'}",False,White,Person search,,Stolen goods
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T14:07:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.547107', 'street': {'id': 968297, 'name': 'On or near Fortuna Close'}, 'longitude': '-0.115278'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-25T02:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535893', 'street': {'id': 964464, 'name': 'On or near Supermarket'}, 'longitude': '-0.102374'}",False,White,Person search,,Stolen goods
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T19:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540865', 'street': {'id': 964755, 'name': 'On or near Bridgeman Road'}, 'longitude': '-0.115189'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T18:49:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T18:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Controlled drugs
,A no further action disposal,False,,,Police and Criminal Evidence Act 1984 (section 1),,2019-05-25T19:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543999', 'street': {'id': 964716, 'name': 'On or near Legion Close'}, 'longitude': '-0.108210'}",False,,Vehicle search,,Stolen goods
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T19:15:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.540865', 'street': {'id': 964755, 'name': 'On or near Bridgeman Road'}, 'longitude': '-0.115189'}",False,White,Person search,,Controlled drugs
,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-26T00:33:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532502', 'street': {'id': 964792, 'name': 'On or near Donegal Street'}, 'longitude': '-0.112940'}",False,White,Person search,,Controlled drugs
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T00:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532811', 'street': {'id': 964789, 'name': 'On or near Penton Street'}, 'longitude': '-0.111442'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T17:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531046', 'street': {'id': 960929, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.116907'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T17:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531046', 'street': {'id': 960929, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.116907'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T00:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539512', 'street': {'id': 964665, 'name': 'On or near Supermarket'}, 'longitude': '-0.117134'}",False,Other,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T11:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539131', 'street': {'id': 964629, 'name': ""On or near Randell'S Road""}, 'longitude': '-0.122010'}",False,White,Person search,,Controlled drugs
,A no further action disposal,False,,,Misuse of Drugs Act 1971 (section 23),,2019-05-26T22:46:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540124', 'street': {'id': 964628, 'name': 'On or near Rufford Street Mews'}, 'longitude': '-0.122228'}",False,,Vehicle search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T23:06:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539512', 'street': {'id': 964665, 'name': 'On or near Supermarket'}, 'longitude': '-0.117134'}",False,Black,Person and Vehicle search,,Controlled drugs
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-27T16:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532537', 'street': {'id': 964790, 'name': 'On or near Penton Grove'}, 'longitude': '-0.110112'}",False,White,Person search,,Controlled drugs
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-27T16:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532537', 'street': {'id': 964790, 'name': 'On or near Penton Grove'}, 'longitude': '-0.110112'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-27T16:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532537', 'street': {'id': 964790, 'name': 'On or near Penton Grove'}, 'longitude': '-0.110112'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-28T02:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.541855', 'street': {'id': 964635, 'name': 'On or near Lyon Street'}, 'longitude': '-0.117485'}",False,Black,Person search,,Stolen goods
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-28T10:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.547113', 'street': {'id': 968141, 'name': 'On or near Drovers Way'}, 'longitude': '-0.125705'}",False,Black,Person search,,Offensive weapons
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-28T09:48:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533537', 'street': {'id': 964806, 'name': 'On or near Grant Street'}, 'longitude': '-0.110763'}",False,Asian,Person search,,Controlled drugs
